"Question No.","Question Title","Difficulty Level","Tags","Language","Actual time","Question","Attachment name","User Response Acceptance"
"Q1","Cell Theory Revision","Medium","module 1","Assignment","30","Using ChatGPT, appraise why cell theory needed revision after the discovery of viruses and prions — do these entities challenge or reaffirm the theory? Submit a 250-word critique.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q2","Insulin Production Choice","Medium","module 1","Assignment","30","A biotech startup in Chennai is choosing between using bacteria (E. coli) or yeast (S. cerevisiae) to mass-produce insulin. Using ChatGPT, defend which cell type is better suited, weighing growth rate, post-translational modification capacity, and contamination risk.","26BIP01_M1_Q2_Insulin_Production_Scenario.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q3","Synthetic Cell Critique","Medium","module 1","Assignment","30","Critique the claim that ""all cells arise from pre-existing cells"" using CRISPR-engineered synthetic cells as a test case. Use ChatGPT to explore counterarguments before forming your judgment. Submit a 250-word position paper.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q4","Curriculum Cell Examples","Medium","module 1","Assignment","30","A school in Madurai teaches cell theory using only plant and animal cell diagrams. Using ChatGPT, critique this approach and recommend how fungal and protist examples would strengthen students' understanding of cell theory's universality. Submit a 200-word curriculum critique.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q5","Historical Statements Check","Medium","module 1","Assignment","30","Two 19th-century scientists' original cell theory statements are provided (see attachment). Using ChatGPT, evaluate which claims still hold today and which needed later correction, and justify your assessment against modern discoveries.","26BIP01_M1_Q5_Historical_CellTheory_Statements.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q6","Nanostructure Verdict","Medium","module 1","Assignment","30","A pharmaceutical R&amp;D note claims a newly isolated ""cell-like"" nanostructure meets all criteria of cell theory. Using ChatGPT, judge whether this structure qualifies as a true cell, or is merely cell-mimicking. Submit a verdict with reasoning.","26BIP01_M1_Q6_Nanostructure_CaseNote.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q7","Acellular Life Debate","Medium","module 1","Assignment","30","Defend, using ChatGPT, whether the discovery of acellular life forms (like viroids) should force biology to redefine ""life"" separately from ""cell."" Submit a 250-word argumentative essay.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q8","RBC True Cell","Medium","module 1","Assignment","30","A hospital pathology report describes anucleate red blood cells performing gas exchange. Using ChatGPT, evaluate whether RBCs still qualify as ""true cells"" under strict cell theory, and justify your conclusion.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q9","Giant Cell Sizes","Medium","module 1","Assignment","30","Given a comparative fact-sheet on multicellular organisms with unusually large single cells (e.g., ostrich egg, algae), critique whether cell theory's size assumptions hold. Use ChatGPT to research counterexamples before answering.","26BIP01_M1_Q9_Giant_Cell_Factsheet.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q10","Founders Contribution Rank","Medium","module 1","Assignment","30","Using ChatGPT, evaluate the historical contributions of Schleiden, Schwann, and Virchow and judge whose contribution was most foundational to modern cell theory, with justification.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q11","Waste Microbe Choice","Medium","module 1","Assignment","30","A water-treatment plant in Trichy is choosing a microbe to break down industrial waste faster. Using ChatGPT, defend whether a prokaryotic or eukaryotic organism would degrade pollutants more efficiently, citing structural reasons.","26BIP01_M1_Q11_WasteTreatment_MicrobeOptions.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
